繁體	简体	吴拼	分类	页码
下顧	下顾	gho ku	与人事有关的动词	186
打烊	打烊	tan yan	与人事有关的动词	186
進賬	进账	cin cian	与人事有关的动词	186
積落	积落	ciq loq	与人事有关的动词	186
揹債	背债	pei tsa	与人事有关的动词	186
放生	放生	faon san	与人事有关的动词	186
蕩光	荡光	daon kuaon	与人事有关的动词	187
貴上	贵上	ciu zaon	与人事有关的动词	187
長	长	jian2	与人事有关的动词	187
拆蝕	拆蚀	tshaq zhiq	与人事有关的动词	187
差	差	tsho1	与人事有关的动词	187
拔	拔	baq8	与人事有关的动词	187
解	解	ka5	与人事有关的动词	187
聽	听	thin1	与人事有关的动词	187
管	管	kun3	与人事有关的动词	187
管着	管着	kun dzoq	与人事有关的动词	187
合着	合着	kaq dzoq	与人事有关的动词	187
歸	归	kuei1	与人事有关的动词	187
散	散	sae5	与人事有关的动词	187
趲預支	趱预支	tsae yu tsy	与人事有关的动词	187
鬥	斗	teu5	与人事有关的动词	187
出數	出数	tshyuq su	与人事有关的动词	188
打回	打回	tan wei	与人事有关的动词	188
退皮	退皮	thei bi	与人事有关的动词	188
兩結結	两结结	lian ciq ciq	与人事有关的动词	188
直過	直过	jiq kou	与人事有关的动词	188
扯直	扯直	tsho jiq	与人事有关的动词	188
扯一直	扯一直	tsho iq jiq	与人事有关的动词	188
一直	一直	iq jiq	与人事有关的动词	188
燒飯	烧饭	shiau vae	与人事有关的动词	188
煮飯	煮饭	tsy vae	与人事有关的动词	188
煮下飯	煮下饭	tsy gho vae	与人事有关的动词	188
氽	氽	then3	与人事有关的动词	188
爆	爆	pau5	与人事有关的动词	188
煠	煠	zaq8	与人事有关的动词	188
拖	拖	thou1	与人事有关的动词	188
貼	贴	thaq7	与人事有关的动词	188
𰟫	𰟄	koq7	与人事有关的动词	189
拔湯	拔汤	baq thaon	与人事有关的动词	189
翻癟	翻瘪	fae piq	与人事有关的动词	189
隨鑊落	随镬落	zei ghoq loq	与人事有关的动词	189
下	下	gho6	与人事有关的动词	189
下	下	o5	与人事有关的动词	189
芡漿	芡浆	chi cian	与人事有关的动词	189
轉漿	转浆	tsoe cian	与人事有关的动词	189
放湯	放汤	faon thaon	与人事有关的动词	189
泡湯	泡汤	phau thaon	与人事有关的动词	189
烤	烤	khau3	与人事有关的动词	189
燉	炖	ten5	与人事有关的动词	189
𤒘	𤒘	toq7	与人事有关的动词	189
篤	笃	toq7	与人事有关的动词	189
焐	焐	u5	与人事有关的动词	189
熩	熩	u5	与人事有关的动词	189
熯	熯	he5	与人事有关的动词	190
煦	煦	heu5	与人事有关的动词	190
煆	煆	huo5	与人事有关的动词	190
燂	燂	dae2	与人事有关的动词	190
煨	煨	uei1	与人事有关的动词	190
埋	埋	mha1	与人事有关的动词	190
⿰鹵倉	⿰卤仓	chian5	与人事有关的动词	190
鹽	盐	yi6	与人事有关的动词	190
暴鹽	暴盐	bau yi	与人事有关的动词	190
暴醃	暴腌	bau yi	与人事有关的动词	190
曬乾	晒干	sa ki	与人事有关的动词	190
出白	出白	tshyuq baq	与人事有关的动词	190
做事體	做事体	tsou zy thi	与人事有关的动词	190
做生活	做生活	tsou san waq	与人事有关的动词	191
做生活	做生活	tsou san wo	与人事有关的动词	191
做對手	做对手	tsou tei shieu	与人事有关的动词	191
把作	把作	po tsoq	与人事有关的动词	191
拆短	拆短	tshaq toe	与人事有关的动词	191
打短	打短	tan toe	与人事有关的动词	191
做頭髮	做头发	tsou deu faq	与人事有关的动词	191
做繃子	做绷子	tsou pan tsy	与人事有关的动词	191
做花繃	做花绷	tsou huo pan	与人事有关的动词	191
做花	做花	tsou huo	与人事有关的动词	191
做夜作	做夜作	tsou ya tsoq	与人事有关的动词	191
開夜工	开夜工	khe ya kon	与人事有关的动词	191
硬做	硬做	ngan tsou	与人事有关的动词	191
落檔	落档	loq taon	与人事有关的动词	191
落手	落手	loq shieu	与人事有关的动词	191
洡手	洡手	lei shieu	与人事有关的动词	191
遭手	遭手	tsau shieu	与人事有关的动词	191
興出	兴出	shin tshyuq	与人事有关的动词	191
作出	作出	tsoq tshyuq	与人事有关的动词	191
當值	当值	taon jiq	与人事有关的动词	191
當直	当直	taon jiq	与人事有关的动词	191
打橫	打横	tan wan	与人事有关的动词	192
糾作	纠作	cieu tsoq	与人事有关的动词	192
周捉	周捉	cieu tsoq	与人事有关的动词	192
收作	收作	shieu tsoq	与人事有关的动词	192
撣塵	掸尘	tae jin	与人事有关的动词	192
㫰	㫰	laon6	与人事有关的动词	192
㫰黴	㫰霉	laon mei	与人事有关的动词	192
做房	做房	tsou vaon	与人事有关的动词	192
橋鋪	桥铺	jiau phu	与人事有关的动词	192
橋眠牀	桥眠床	jiau mi zaon	与人事有关的动词	192
擔飯	担饭	tae vae	与人事有关的动词	192
帶信	带信	ta shin	与人事有关的动词	192
摥	摥	thaon5	与人事有关的动词	192
弶	弶	jian6	与人事有关的动词	192
弶	弶	jia2	与人事有关的动词	192
弶貓	弶猫	jian mae	与人事有关的动词	192
撣蚊蟲	掸蚊虫	tae men dzon	与人事有关的动词	192
䃗	䃗	poq7	与人事有关的动词	193
起屋	起屋	chi oq	与人事有关的动词	193
卸舊	卸旧	shia jieu	与人事有关的动词	193
放牆腳	放墙脚	faon zhian ciaq	与人事有关的动词	193
打牆	打墙	tan zhian	与人事有关的动词	193
上樑	上梁	zaon lian	与人事有关的动词	193
牮	牮	ci5	与人事有关的动词	193
翻屋	翻屋	fae oq	与人事有关的动词	193
捉漏	捉漏	tsoq leu	与人事有关的动词	193
刷白	刷白	syuq baq	与人事有关的动词	193
合	合	kaq7	与人事有关的动词	193
𥫷	𥫷	chieu1	与人事有关的动词	193
打𥫷	打𥫷	tan chieu	与人事有关的动词	193
限卯	限卯	ghae mau	与人事有关的动词	193
釘碗	钉碗	tin un	与人事有关的动词	193
碫磨	碫磨	toe mou	与人事有关的动词	194
鍛磨	锻磨	toe mou	与人事有关的动词	194
兌糖	兑糖	dei daon	与人事有关的动词	194
看	看	khi5	与人事有关的动词	194
臿	臿	tshaq7	与人事有关的动词	194
趕水	赶水	ki syu	与人事有关的动词	194
耖田	耖田	tshau di	与人事有关的动词	194
劖白	劖白	zae baq	与人事有关的动词	194
耙田	耙田	bo di	与人事有关的动词	194
種田	种田	tson di	与人事有关的动词	194
擱田	搁田	koq di	与人事有关的动词	194
做種	做种	tsou tson	与人事有关的动词	194
推緝	推缉	thei chiq	与人事有关的动词	194
張網	张网	cian maon	与人事有关的动词	194
張網貨	张网货	cian maon hou	与人事有关的动词	194
朋	朋	ban2	与人事有关的动词	194
打拼	打拼	tan phin	与人事有关的动词	194
搭對	搭对	taq tei	与人事有关的动词	194
搭檔	搭档	taq taon	与人事有关的动词	194
搭班	搭班	taq pae	与人事有关的动词	194
團熟	团熟	doe zoq	与人事有关的动词	194
軋道	轧道	gaq dau	与人事有关的动词	195
湊隊	凑队	tsheu dei	与人事有关的动词	195
湊隊	凑队	tshei dei	与人事有关的动词	195
候隊	候队	gheu dei	与人事有关的动词	195
有隊	有队	yeu dei	与人事有关的动词	195
做隊	做队	tsou dei	与人事有关的动词	195
做腳	做脚	tsou ciaq	与人事有关的动词	195
搭界	搭界	taq ka	与人事有关的动词	195
來去	来去	le chi	与人事有关的动词	195
犯對	犯对	vae tei	与人事有关的动词	195
解纜	解缆	ka lae	与人事有关的动词	195
𤖼鯗	𤖼鲞	phaq shian	与人事有关的动词	195
𤖼蟹股	𤖼蟹股	phaq ha ku	与人事有关的动词	195
挽	挽	uae3	与人事有关的动词	195
浼	浼	uae3	与人事有关的动词	195
凂	凂	uae3	与人事有关的动词	195
求靠	求靠	jieu khau	与人事有关的动词	196
相煩	相烦	shian vae	与人事有关的动词	196
挑	挑	thiau3	与人事有关的动词	196
望	望	maon6	与人事有关的动词	196
供	供	tson1	与人事有关的动词	196
到	到	tau5	与人事有关的动词	196
到成	到成	tau jin	与人事有关的动词	196
打發	打发	to faq	与人事有关的动词	196
拆勸	拆劝	tshaq chiu	与人事有关的动词	196
出頭	出头	tshyuq deu	与人事有关的动词	196
𠡒腳	𠡒脚	tei ciaq	与人事有关的动词	196
滾	滚	kuen3	与人事有关的动词	196
弄送	弄送	lon son	与人事有关的动词	196
弄聳	弄耸	lon son	与人事有关的动词	196
弄慫	弄怂	lon son	与人事有关的动词	196
弄松	弄松	lon son	与人事有关的动词	196
解板	解板	ka pae	与人事有关的动词	196
尋着	寻着	zhin dzoq	与人事有关的动词	197
引犯	引犯	yin vae	与人事有关的动词	197
撮引	撮引	tshaq yin	与人事有关的动词	197
吵朋	吵朋	tshau ban	与人事有关的动词	197
打棚	打棚	tan ban	与人事有关的动词	197
調排	调排	diau ba	与人事有关的动词	197
揹命	背命	pei min	与人事有关的动词	197
拼捨性命	拼舍性命	phin so shin min	与人事有关的动词	197
隨舍	随舍	zei so	与人事有关的动词	197
橫豎橫	横竖横	wan zyu wan	与人事有关的动词	197
做記勿着	做记勿着	tsou ci vaq dzoq	与人事有关的动词	197
放血	放血	faon shiuq	与人事有关的动词	197
動打場	动打场	don tan jian	与人事有关的动词	197
打相打	打相打	tan shian tan	与人事有关的动词	197
討饒	讨饶	tha gniau	与人事有关的动词	197
討保	讨保	tha pau	与人事有关的动词	197
攪	搅	gau4	与人事有关的动词	197
攪軋	搅轧	gau gaq	与人事有关的动词	197
攪腦子	搅脑子	gau nau tsy	与人事有关的动词	198
煩	烦	vae2	与人事有关的动词	198
作	作	tsoq7	与人事有关的动词	198
作講	作讲	tsoq kaon	与人事有关的动词	198
作興	作兴	tsoq shin	与人事有关的动词	198
作吵	作吵	tsoq tshau	与人事有关的动词	198
作梗	作梗	tsoq kan	与人事有关的动词	198
作嬌	作娇	tsoq ciau	与人事有关的动词	198
百債	百债	paq tsa	与人事有关的动词	198
嘰奏	叽奏	ci tseu	与人事有关的动词	198
刁	刁	tiau1	与人事有关的动词	198
刁蹬	刁蹬	tiau ten	与人事有关的动词	198
摜鑼槌	掼锣槌	guae lou dzyu	与人事有关的动词	198
犯夜	犯夜	vae ya	与人事有关的动词	198
犯着	犯着	vae dzoq	与人事有关的动词	198
犯賤	犯贱	vae zhi	与人事有关的动词	198
生癢	生痒	san yan	与人事有关的动词	199
致怨	致怨	tsy iu	与人事有关的动词	199
招怪	招怪	ciau kua	与人事有关的动词	199
做惡	做恶	tsou oq	与人事有关的动词	199
做惡人	做恶人	tsou oq gnin	与人事有关的动词	199
揹耙	背耙	pei bo	与人事有关的动词	199
揹老耙	背老耙	pei lau bo	与人事有关的动词	199
揹木梢	背木梢	pei moq sau	与人事有关的动词	199
上狗當	上狗当	zaon keu taon	与人事有关的动词	199
上老當	上老当	zaon lau taon	与人事有关的动词	199
穿繃	穿绷	tshoe pan	与人事有关的动词	199
坍臺	坍台	thae de	与人事有关的动词	199
喫癟	吃瘪	chioq piq	与人事有关的动词	199
喫着	吃着	chioq dzoq	与人事有关的动词	199
落軋	落轧	loq gaq	与人事有关的动词	199
落薄	落薄	loq boq	与人事有关的动词	199
交運	交运	kau yun	与人事有关的动词	199
交老運	交老运	kau lau yun	与人事有关的动词	199
行運	行运	ghan yun	与人事有关的动词	199
挔	挔	i1	与人事有关的动词	199
挔	挔	i5	与人事有关的动词	199
伊	伊	i1	与人事有关的动词	199
杭	杭	ghaon2	与人事有关的动词	200
鈵	鈵	pin5	与人事有关的动词	200
韌	韧	gnin6	与人事有关的动词	200
校	校	kau5	与人事有关的动词	200
範	范	vae4	与人事有关的动词	200
裝	装	tsaon1	与人事有关的动词	200
盛	盛	zhin2	与人事有关的动词	200
候	候	gheu6	与人事有关的动词	200
候榫頭	候榫头	gheu syun deu	与人事有关的动词	200
候榫	候榫	gheu syun	与人事有关的动词	200
汭	汭	nei6	与人事有关的动词	200
儾	儾	naon6	与人事有关的动词	200
捱	捱	nga6	与人事有关的动词	201
捱過	捱过	nga kou	与人事有关的动词	201
借	借	cia5	与人事有关的动词	201
揀	拣	kae3	与人事有关的动词	201
調	调	diau2	与人事有关的动词	201
趲	趱	tsae3	与人事有关的动词	201
岔翁	岔翁	tsho on	与人事有关的动词	201
撞頭	撞头	dzaon deu	与人事有关的动词	201
晏到	晏到	ae tau	与人事有关的动词	201
跌落	跌落	tiq loq	与人事有关的动词	201
跌落	跌落	toq loq	与人事有关的动词	201
錯落	错落	tshou loq	与人事有关的动词	201
脫落	脱落	thaq loq	与人事有关的动词	201
沓	沓	thaq7	与人事有关的动词	202
壓進	压进	aq cin	与人事有关的动词	202
失撇	失撇	syuq phiq	与人事有关的动词	202
脫空	脱空	thaq khon	与人事有关的动词	202
脫絞	脱绞	thaq gau	与人事有关的动词	202
斷絞	断绞	doe gau	与人事有关的动词	202
庉門	庉门	den men	与人事有关的动词	202
傷料	伤料	saon liau	与人事有关的动词	202
狼藉	狼藉	laon zhiq	与人事有关的动词	202
狼籍	狼籍	laon zhiq	与人事有关的动词	202
晦氣	晦气	huei chi	与人事有关的动词	202
搭漿	搭浆	taq cian	与人事有关的动词	202
配辦	配办	phei bae	与人事有关的动词	202
抵配	抵配	ti phei	与人事有关的动词	202
閘出	闸出	zaq tshyuq	与人事有关的动词	202
和攏	和拢	ghou lon	与人事有关的动词	202
做認	做认	tsou gnin	与人事有关的动词	202
做記認	做记认	tsou ci gnin	与人事有关的动词	202
做撥	做拨	tsou paq	与人事有关的动词	202
做	做	tsou5	与人事有关的动词	202
做仔	做仔	tsou tsy	与人事有关的动词	203
調	调	diau2	与人事有关的动词	203
調撥	调拨	diau paq	与人事有关的动词	203
調仔	调仔	diau tsy	与人事有关的动词	203
做則	做则	tsou tsaq	与人事有关的动词	203
看起	看起	khi chi	与人事有关的动词	203
看樣	看样	khi yan	与人事有关的动词	203
認樣	认样	gnin yan	与人事有关的动词	203
充闊	充阔	tshon khuaq	与人事有关的动词	203
作講	作讲	tsoq kaon	与人事有关的动词	203
做客	做客	tsou khaq	与人事有关的动词	203
慣常	惯常	kuae dzaon	与人事有关的动词	203
依依名	依依名	i i min	与人事有关的动词	203
啄	啄	toq7	其他动词	203
啄	啄	taq7	其他动词	203
搜	搜	seu1	其他动词	204
毨	毨	seu3	其他动词	204
毨	毨	sei3	其他动词	204
搰	搰	guaq8	其他动词	204
爪	爪	tsau5	其他动词	204
脹膯	胀膯	cian ten	其他动词	204
縋膯	缒膯	dzyu ten	其他动词	204
積食	积食	ciq zhiq	其他动词	204
孵	孵	bu6	其他动词	204
伏	伏	bu6	其他动词	204
賴孵	赖孵	la bu	其他动词	204
打水	打水	tan syu	其他动词	204
打勢	打势	tan syu	其他动词	204
嚵	嚵	zae2	其他动词	204
飲	饮	in3	其他动词	204
拖	拖	tha1	其他动词	204
拖	拖	thou1	其他动词	204
揹	背	pei5	其他动词	205
𧍢	𧍢	yi2	其他动词	205
䢚	䢚	kan5	其他动词	205
耿	耿	kan5	其他动词	205
𧱝	𧱝	chiun5	其他动词	205
𧤼	𧤼	jiuq8	其他动词	205
架	架	ko5	其他动词	205
打渾	打浑	tan wen	其他动词	205
褪殼	褪壳	then khoq	其他动词	205
做市	做市	tsou zy	其他动词	205
關胎	关胎	kuae the	其他动词	205
交孳	交孳	gau tsy	其他动词	205
悶	闷	men2	其他动词	205
𦫪	𦫪	o3	其他动词	206
延	延	yi2	其他动词	206
延藤	延藤	yi den	其他动词	206
上蕻	上蕻	zaon hon	其他动词	206
發棵	发棵	faq khou	其他动词	206
㫰花	㫰花	laon huo	其他动词	206
眠倒	眠倒	mi tau	其他动词	206
倒㼑	倒㼑	tau li	其他动词	206
起沙	起沙	chi so	其他动词	206
𢪂藤	𢪂藤	da den	其他动词	206
了藤	了藤	liau den	其他动词	206
攋藤	𪮶藤	la den	其他动词	206
落腳	落脚	loq ciaq	其他动词	206
落市	落市	loq zy	其他动词	206
犯熟地	犯熟地	vae zoq di	其他动词	206
饐掉	饐掉	i diau	其他动词	207
餲掉	餲掉	aq diau	其他动词	207
餿氣	馊气	seu chi	其他动词	207
䭁	䭁	tsoq7	其他动词	207
發醭	发醭	faq phoq	其他动词	207
泛	泛	fae5	其他动词	207
出氣	出气	tshyuq chi	其他动词	207
性	性	shin5	其他动词	207
性煞	性煞	shin saq	其他动词	207
過性	过性	kou shin	其他动词	207
脹脯	胀脯	cian bu	其他动词	207
打凍	打冻	tan ton	其他动词	207
離骨	离骨	li kuaq	其他动词	207
蝕	蚀	zhiq8	其他动词	207
紿	绐	dei4	其他动词	207
紿	绐	de4	其他动词	207
勩	勚	yi6	其他动词	208
煬	炀	yan6	其他动词	208
烊	烊	yan6	其他动词	208
煬勩	炀勚	yan yi	其他动词	208
腐	腐	vu6	其他动词	208
爛腐	烂腐	lae vu	其他动词	208
褪	褪	then5	其他动词	208
褪缺	褪缺	then chiuq	其他动词	208
